date,soi,oni,nino3,pna
199508,0.3,-0.5,-0.58,-0.33
199509,0.3,-0.8,-0.7,1.22
199510,0,-1,-0.73,0.11
199511,0,-1,-0.75,-0.73
199512,-0.5,-1,-0.74,0.62
199601,1,-0.9,-0.58,-0.68
199602,0.3,-0.8,-0.53,-0.7
199603,1.1,-0.6,-0.29,-0.75
199604,0.8,-0.4,-0.55,0.51
199605,0.3,-0.3,-0.53,0.37
199606,1.2,-0.3,-0.34,-1.18
199607,0.7,-0.3,-0.26,0.18
199608,0.7,-0.3,-0.28,-0.93
199609,0.6,-0.4,-0.33,-0.27
199610,0.6,-0.4,-0.39,-0.67
199611,-0.1,-0.4,-0.49,-0.44
199612,0.9,-0.5,-0.8,-1.53
199701,0.5,-0.5,-0.7,0.16
199702,1.7,-0.4,-0.39,0.45
199703,-0.4,-0.1,0.06,-1.56
199704,-0.6,0.3,0.28,0.29
199705,-1.3,0.8,1.07,0.77
199706,-1.4,1.2,1.68,-0.25
199707,-0.8,1.6,2.27,0.1
199708,-1.4,1.9,2.75,-0.55
199709,-1.4,2.1,2.84,0.22
199710,-1.5,2.3,3.11,-0.12
199711,-1.2,2.4,3.22,0.86
199712,-1,2.4,3.24,0.85
199801,-2.7,2.2,3.03,0.3
199802,-2,1.9,2.5,0.89
199803,-2.4,1.4,2.03,0.69
199804,-1.4,1,1.51,0.85
199805,0.3,0.5,1.25,-1.87
199806,1,-0.1,0.09,0.09
199807,1.2,-0.8,-0.17,1.67
199808,1.2,-1.1,-0.27,-0.6
199809,1,-1.3,-0.46,0.42
199810,1.1,-1.4,-0.74,0.77
199811,1,-1.5,-0.71,0.7
199812,1.4,-1.6,-1,-0.39
199901,1.8,-1.5,-0.97,-0.44
199902,1,-1.3,-0.77,-0.46
199903,1.3,-1.1,-0.37,0.38
199904,1.4,-1,-0.63,0.05
199905,0.2,-1,-0.59,-0.05
199906,0.3,-1,-0.69,0.43
199907,0.5,-1.1,-0.64,-0.92
199908,0.4,-1.1,-0.74,1.95
199909,-0.1,-1.2,-0.94,0.33
199910,1,-1.3,-1.16,0.62
199911,1,-1.5,-1.42,0.45
199912,1.4,-1.7,-1.46,-0.09
200001,0.7,-1.7,-1.71,-1.7
200002,1.7,-1.4,-1.15,1.2
200003,1.3,-1.1,-0.82,0.95
200004,1.2,-0.8,-0.3,-0.58
200005,0.4,-0.7,-0.5,-0.16
200006,-0.2,-0.6,-0.75,-1.19
200007,-0.2,-0.6,-0.58,-2.55
200008,0.7,-0.5,-0.38,-0.51
200009,0.9,-0.5,-0.31,-1.21
200010,1.1,-0.6,-0.48,0.44
200011,1.8,-0.7,-0.72,0.7
200012,0.8,-0.7,-0.72,0.92
200101,1,-0.7,-0.71,1.29
200102,1.7,-0.5,-0.4,-0.51
200103,0.9,-0.4,-0.1,0.39
200104,0.2,-0.3,-0.03,-0.7
200105,-0.5,-0.3,-0.31,-0.01
200106,0.3,-0.1,-0.24,-0.89
200107,-0.2,-0.1,-0.17,-0.36
200108,-0.4,-0.1,-0.28,-0.14
200109,0.2,-0.2,-0.67,0.04
200110,0,-0.3,-0.53,-0.08
200111,0.7,-0.3,-0.59,1.03
200112,-0.8,-0.3,-0.64,0.26
200201,0.4,-0.1,-0.49,-0.7
200202,1.1,0,-0.2,-0.11
200203,-0.2,0.1,0.2,-1.56
200204,-0.1,0.2,0.06,-2.4
200205,-0.8,0.4,0.15,-0.56
200206,-0.2,0.7,0.42,0.06
200207,-0.5,0.8,0.27,0.4
200208,-1,0.9,0.34,0.61
200209,-0.6,1,0.51,0.6
200210,-0.4,1.2,0.93,-0.55
200211,-0.5,1.3,1.24,1.46
200212,-1.1,1.1,1.25,1.28
200301,-0.2,0.9,0.71,1.01
200302,-0.7,0.6,0.28,0.68
200303,-0.3,0.4,0.1,-0.36
200304,-0.1,0,-0.42,-0.1
200305,-0.3,-0.3,-0.89,-1.85
200306,-0.6,-0.2,-0.5,-0.53
200307,0.3,0.1,0.01,0.73
200308,0.1,0.2,0.07,-0.31
200309,-0.1,0.3,0.02,0.59
200310,0,0.3,0.39,1.23
200311,-0.3,0.4,0.35,-1.65
200312,1.1,0.4,0.53,0.56
200401,-1.3,0.4,0.43,-0.12
200402,1.2,0.3,0.14,1.12
200403,0.4,0.2,-0.06,0
200404,-0.9,0.2,-0.04,0.25
200405,1,0.2,-0.32,-1.46
200406,-0.8,0.3,-0.19,-0.28
200407,-0.5,0.5,-0.03,-0.33
200408,-0.3,0.6,0.25,1.52
200409,-0.3,0.7,0.33,-0.11
200410,-0.1,0.7,0.47,-1.37
200411,-0.7,0.7,0.49,0.29
200412,-0.8,0.7,0.54,-0.04
200501,0.3,0.6,0.28,-0.62
200502,-3.1,0.6,-0.11,-0.11
200503,0.3,0.4,-0.16,0.56
200504,-0.6,0.4,0.14,1
200505,-0.8,0.3,0.25,1.62
200506,0.4,0.1,0.18,0.42
200507,0.2,-0.1,0.12,-0.02
200508,-0.3,-0.1,0.09,0.69
200509,0.4,-0.1,-0.25,1.32
200510,1.2,-0.3,-0.43,1.16
200511,-0.2,-0.6,-0.92,-0.74
200512,0,-0.8,-1.27,1.07
200601,1.7,-0.8,-0.9,-0.1
200602,0.1,-0.7,-0.4,-0.44
200603,1.8,-0.5,-0.58,-0.56
200604,1.1,-0.3,-0.26,0.2
200605,-0.5,0,-0.14,-1.03
200606,-0.2,0,-0.02,-1.02
200607,-0.6,0.1,-0.01,1.29
200608,-1,0.3,0.36,-1.45
200609,-0.6,0.5,0.71,0.31
200610,-1.3,0.7,0.85,-0.76
200611,0.1,0.9,0.93,-1.34
200612,-0.3,0.9,1.06,1.55
200701,-0.8,0.7,0.63,0.27
200702,-0.1,0.3,0,-0.42
