SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Portland,OR,97230.0,174000.0,0.0,0.5,COLUMBIA RIDGE MARINA,212.0,,2001.0,419.0,821.0,295.0,Active,,,RMLS,17002675,N,Y,45.55853926767715,-122.47356073232285
MLS Listing,,Condo/Co-op,Portland,OR,97225.0,174100.0,2.0,2.0,HAYHURST,952.0,,1971.0,49.0,183.0,285.0,Active,,,RMLS,18211068,N,Y,45.51922654752245,-122.70260665247757
MLS Listing,,Single Family Residential,Portland,OR,97216.0,174900.0,3.0,1.0,Portland Southeast,1098.0,10018.0,1926.0,30.0,159.0,,Active,,,RMLS,18656993,N,Y,45.52703556051958,-122.52488033948043
MLS Listing,,Condo/Co-op,Portland,OR,97205.0,174950.0,1.0,1.0,"Portland West, Raleigh Hills",461.0,,1928.0,202.0,380.0,357.0,Active,,,RMLS,18313853,N,Y,45.55780575339902,-122.65242414660099
MLS Listing,,Vacant Land,Portland,OR,97231.0,175000.0,,,Folkenberg,,130680.0,,38.0,,,Active,,,RMLS,18259634,N,Y,45.669893624413945,-122.83243337558605
MLS Listing,,Vacant Land,Portland,OR,97236.0,175000.0,,,Portland Southeast,,20037.0,,90.0,,,Active,,,RMLS,18644663,N,Y,45.48760559414926,-122.51977840585074
MLS Listing,,Vacant Land,Portland,OR,97219.0,175000.0,,,"Portland West, Raleigh Hills",,4791.0,,52.0,,,Active,,,RMLS,18334588,N,Y,45.48449596152859,-122.66304673847141
MLS Listing,,Vacant Land,Portland,OR,97239.0,175000.0,,,"Portland West, Raleigh Hills",,10454.0,,241.0,,,Active,,,RMLS,18322889,N,Y,45.49977004698246,-122.68745395301752
MLS Listing,,Vacant Land,Portland,OR,97219.0,175000.0,,,"Portland West, Raleigh Hills",,4356.0,,3.0,,,Active,,,RMLS,18390698,N,Y,45.465780645712606,-122.6792820542874
MLS Listing,,Condo/Co-op,Portland,OR,97205.0,175000.0,0.0,1.0,"Portland West, Raleigh Hills",460.0,,1928.0,132.0,380.0,358.0,Active,,,RMLS,18190212,N,Y,45.534161425835954,-122.67600537416406
MLS Listing,,Condo/Co-op,Portland,OR,97236.0,175000.0,3.0,1.5,Portland Southeast,1068.0,,1973.0,3.0,164.0,290.0,Active,,,RMLS,18121153,N,Y,45.512161856075906,-122.47085934392408
MLS Listing,,Condo/Co-op,Portland,OR,97229.0,177000.0,1.0,1.0,COURTYARDS AT SPRINGVILLE,728.0,,1994.0,7.0,243.0,337.0,Active,September-23-2018 12:00 PM,September-23-2018 03:00 PM,RMLS,18663822,N,Y,45.57701899091137,-122.84230300908862
MLS Listing,,Single Family Residential,Portland,OR,97211.0,179000.0,2.0,1.5,McCuddy's Marina,1451.0,,1945.0,146.0,123.0,460.0,Active,,,RMLS,18395320,N,Y,45.60171435285889,-122.6354725471411
MLS Listing,,Condo/Co-op,Portland,OR,97232.0,179000.0,0.0,1.0,LLOYD DISTRICT,461.0,,1929.0,7.0,388.0,206.0,Active,,,RMLS,18263615,N,Y,45.536474694335745,-122.65326540566424
MLS Listing,,Vacant Land,Portland,OR,97206.0,179000.0,,,Portland Southeast,,2613.0,,6.0,,,Active,,,RMLS,18311538,N,Y,45.494483092103394,-122.58712260789662
