SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Tigard,OR,97224,950000,5.0,4.5,"Tigard, Tualatin, Sherwood, Wilsonville",5264.0,12632.0,1994.0,83.0,180.0,7.0,Active,,,RMLS,18118515,N,Y,45.435068001373416,-122.79110539862657
MLS Listing,,Single Family Residential,Portland,OR,97224,556500,4.0,2.5,ARBOR POINTE,2507.0,4356.0,2013.0,84.0,222.0,125.0,Active,,,RMLS,18487228,N,Y,45.41856853802723,-122.83926586197278
MLS Listing,,Single Family Residential,Tigard,OR,97224,1150000,4.0,3.5,"Tigard, Tualatin, Sherwood, Wilsonville",4072.0,92347.0,2016.0,84.0,282.0,,Active,September-22-2018 01:00 PM,September-22-2018 03:00 PM,RMLS,18673252,N,Y,45.425735068282954,-122.82572463171705
MLS Listing,,Single Family Residential,Tigard,OR,97224,1199990,3.0,3.5,THE ESTATES AT RIVER TERRACE,3039.0,,2018.0,87.0,395.0,161.0,Active,,,RMLS,18040108,N,Y,45.43653198701469,-122.80685571298532
MLS Listing,,Single Family Residential,Tigard,OR,97223,328500,2.0,1.0,"Tigard, Tualatin, Sherwood, Wilsonville",1136.0,10018.0,1941.0,87.0,289.0,,Active,,,RMLS,18592766,N,Y,45.42625423237494,-122.75689806762506
MLS Listing,,Single Family Residential,Tigard,OR,97223,605000,4.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",2100.0,22651.0,1986.0,88.0,288.0,,Active,,,RMLS,18234664,N,Y,45.459296380552416,-122.75205111944757
MLS Listing,,Single Family Residential,Portland,OR,97219,1395000,4.0,2.0,"Portland West, Raleigh Hills",3000.0,96267.0,1930.0,89.0,465.0,,Active,,,RMLS,18340272,N,Y,45.47138668688741,-122.73800541311259
MLS Listing,,Vacant Land,Portland,OR,97223,215000,,,"Portland West, Raleigh Hills",,6098.0,,90.0,,,Active,,,RMLS,18677491,N,Y,45.440057747396175,-122.76486545260383
MLS Listing,,Single Family Residential,Tigard,OR,97224,585000,4.0,3.5,MOUNTAIN GATE,2792.0,13939.0,1988.0,91.0,210.0,7.0,Active,,,RMLS,18508268,N,Y,45.42638174217142,-122.80847455782856
MLS Listing,,Single Family Residential,Tigard,OR,97224,639900,4.0,3.0,Bull Ridge,2778.0,6534.0,2014.0,93.0,230.0,44.0,Active,,,RMLS,18599386,N,Y,45.43850166118249,-122.80569903881752
MLS Listing,,Single Family Residential,Tigard,OR,97223,599900,4.0,3.0,"Tigard, Tualatin, Sherwood, Wilsonville",3026.0,6098.0,2015.0,100.0,198.0,40.0,Active,September-22-2018 01:00 PM,September-22-2018 03:00 PM,RMLS,18410442,N,Y,45.45852528448626,-122.74257151551375
MLS Listing,,Vacant Land,Portland,OR,97223,225000,,,"Beaverton, Aloha",,6969.0,,100.0,,,Active,,,RMLS,18100412,N,Y,45.48705264640435,-122.71753755359565
MLS Listing,,Vacant Land,Portland,OR,97223,225000,,,"Beaverton, Aloha",,6969.0,,100.0,,,Active,,,RMLS,18636072,N,Y,45.451069226785606,-122.7532539732144
MLS Listing,,Single Family Residential,Tigard,OR,97224,929990,3.0,2.5,THE ESTATES AT RIVER TERRACE,2734.0,,2018.0,101.0,340.0,161.0,Active,,,RMLS,18153983,N,Y,45.44323391560053,-122.80323518439945
MLS Listing,,Single Family Residential,Portland,OR,97223,704900,4.0,2.5,GARDEN HOME,2848.0,7405.0,2018.0,105.0,248.0,,Active,,,RMLS,18315982,N,Y,45.48581121189257,-122.72911388810745
MLS Listing,,Single Family Residential,Tigard,OR,97224,685900,4.0,3.5,MADELINE HEIGHTS,3180.0,,2018.0,106.0,216.0,,Active,,,RMLS,18138336,N,Y,45.44312738234889,-122.7817726176511
MLS Listing,,Single Family Residential,King City,OR,97224,399950,3.0,2.5,ARDEN VILLAGE,1663.0,2613.0,2018.0,107.0,240.0,68.0,Active,,,RMLS,18328493,N,Y,45.42555195795861,-122.78833034204138
MLS Listing,,Single Family Residential,Portland,OR,97224,744900,5.0,2.5,Burgundy Ridge,3035.0,8276.0,2018.0,110.0,245.0,,Active,,,RMLS,18276373,N,Y,45.411281185974325,-122.83302355159866
MLS Listing,,Vacant Land,Portland,OR,97223,159900,,,Pearl Estates,,10018.0,,112.0,,,Active,,,RMLS,18282855,N,Y,45.48064447763191,-122.7378095223681
MLS Listing,,Single Family Residential,Tigard,OR,97224,865000,5.0,3.5,"Tigard, Tualatin, Sherwood, Wilsonville",2530.0,200375.0,1940.0,112.0,342.0,,Active,,,RMLS,18695676,N,Y,45.39114837659359,-122.8003485234064
